hhid,psuid,loc,pline,fline,v001,v002,v003,v004,v005,v006,v007a,v007b,v007c,v008
68,4,urban,138.7,88.768,156.1970561817106,1,0,1,0,0,1,68,5,0
69,4,urban,138.7,88.768,359.4131481231032,2,0,0,0,1,1,49,5,0
70,4,urban,138.7,88.768,118.8689009410039,4,1,0,0,2,0,44,6,0
71,4,urban,138.7,88.768,245.6838809269351,3,0,0,0,1,0,29,5,0
72,4,urban,138.7,88.768,166.4645783377525,4,2,0,0,1,0,28,6,0
73,5,urban,138.7,88.768,128.5085546608101,6,1,1,0,2,0,71,1,0
74,5,urban,138.7,88.768,88.92737249578619,7,4,0,0,2,0,38,4,0
75,5,urban,138.7,88.768,207.4484535389719,5,0,0,0,3,0,27,6,0
76,5,urban,138.7,88.768,138.3305655684231,4,1,0,1,2,0,53,4,0
77,5,urban,138.7,88.768,126.5134586952012,6,3,0,0,0,0,37,5,0
78,5,urban,138.7,88.768,128.4345284756608,4,2,0,1,1,0,55,3,0
79,5,urban,138.7,88.768,161.8275600448339,2,0,2,1,0,0,84,1,0
80,5,urban,138.7,88.768,132.0805437838522,4,2,0,0,1,0,31,5,0
81,5,urban,138.7,88.768,99.43919395936869,5,1,0,0,2,0,46,5,0
82,5,urban,138.7,88.768,64.42011404030657,5,2,1,0,1,1,74,1,0
83,5,urban,138.7,88.768,219.1770900933568,3,0,0,1,1,1,42,3,0
84,5,urban,138.7,88.768,103.1771552060656,6,4,0,0,1,0,40,4,0
85,5,urban,138.7,88.768,126.8806556562923,8,4,0,0,2,0,40,6,0
86,5,urban,138.7,88.768,97.89764379155254,5,0,0,0,2,0,58,3,0
87,5,urban,138.7,88.768,137.7591195294048,6,3,0,0,1,1,51,3,0
88,5,urban,138.7,88.768,124.2982186563348,7,4,0,0,1,0,63,3,0
89,5,urban,138.7,88.768,695.0941426932015,3,0,0,2,1,0,48,3,0
90,5,urban,138.7,88.768,89.05916349155166,11,5,0,0,2,1,52,3,0
91,6,urban,138.7,88.768,106.8335727525803,11,6,1,0,2,0,38,5,0
92,6,urban,138.7,88.768,160.203497763327,6,1,0,0,1,1,40,3,0
93,6,urban,138.7,88.768,54.49861916191979,6,1,0,0,2,0,51,4,0
94,6,urban,138.7,88.768,310.167233190043,4,3,0,1,0,1,35,6,0
95,6,urban,138.7,88.768,120.634309387883,7,1,0,0,2,1,50,3,0
96,6,urban,138.7,88.768,108.5387660447355,7,4,1,1,2,0,68,5,0
97,6,urban,138.7,88.768,232.7398736951166,7,1,0,0,3,0,45,3,0
98,6,urban,138.7,88.768,181.5454274935381,5,3,0,0,1,0,37,4,0
99,6,urban,138.7,88.768,97.24964384398962,6,3,0,1,1,0,38,5,0
100,6,urban,138.7,88.768,148.1408406174148,3,0,0,2,1,0,46,4,0
101,6,urban,138.7,88.768,312.236743526894,5,3,0,0,1,0,43,4,0
102,6,urban,138.7,88.768,144.8322312445838,6,1,0,0,2,1,54,4,0
103,6,urban,138.7,88.768,146.6892051818043,3,0,0,2,1,0,50,6,0
104,6,urban,138.7,88.768,232.1614635202132,1,0,1,0,0,1,75,2,0
105,6,urban,138.7,88.768,84.32593577862144,5,2,0,1,0,1,56,2,0
106,6,urban,138.7,88.768,78.00157184347682,5,3,0,0,0,1,31,3,0
107,6,urban,138.7,88.768,245.9520001585124,4,0,0,3,2,0,51,4,0
108,6,urban,138.7,88.768,219.7033982146012,1,0,0,0,0,0,33,2,0
109,7,urban,138.7,88.768,102.2204570388466,8,4,1,0,1,1,74,1,0
110,7,urban,138.7,88.768,263.3710837308245,5,3,0,0,1,0,37,3,0
111,7,urban,138.7,88.768,132.5924077714088,8,4,2,0,1,0,69,2,0
112,7,urban,138.7,88.768,161.2482901000681,3,2,0,0,1,1,31,4,0
113,7,urban,138.7,88.768,112.4692469590123,9,2,0,0,2,0,56,4,0
114,7,urban,138.7,88.768,69.99687368933373,9,2,2,0,4,0,77,6,0
115,7,urban,138.7,88.768,131.5127539161736,5,2,2,1,0,0,72,1,0
116,7,urban,138.7,88.768,235.823954168392,6,0,1,0,3,0,45,3,0
117,7,urban,138.7,88.768,215.3150898486171,6,3,0,0,2,0,39,5,0
118,7,urban,138.7,88.768,157.7967439876196,3,0,1,0,1,0,30,2,0
119,7,urban,138.7,88.768,156.2945540841023,2,0,2,2,0,0,85,2,0
120,7,urban,138.7,88.768,156.9584683718175,7,0,0,1,3,0,53,3,0
121,7,urban,138.7,88.768,107.3099829574491,8,1,1,2,1,0,77,4,0
122,7,urban,138.7,88.768,152.4883443057312,5,2,0,0,0,0,41,4,0
123,7,urban,138.7,88.768,433.9512471353708,5,1,0,0,1,0,58,3,6
124,7,urban,138.7,88.768,257.4821988589478,12,4,1,0,1,0,67,1,6
125,7,urban,138.7,88.768,247.6487344876354,4,2,0,0,2,0,40,3,3
126,7,urban,138.7,88.768,162.3782426416762,6,3,0,2,1,0,42,3,0
127,8,urban,138.7,88.768,197.3790868419577,5,3,0,1,0,0,36,3,0
128,8,urban,138.7,88.768,170.7903255497019,5,3,0,0,1,0,41,6,0
129,8,urban,138.7,88.768,1176.307434962057,2,0,0,0,1,0,35,3,0
130,8,urban,138.7,88.768,143.8585521623836,6,2,0,0,1,0,49,3,0
131,8,urban,138.7,88.768,378.7522680412703,1,0,0,0,1,1,44,3,0
132,8,urban,138.7,88.768,279.3134351852438,3,0,0,0,1,0,55,3,0
133,8,urban,138.7,88.768,215.7338794497239,4,3,0,1,0,1,31,3,0
134,8,urban,138.7,88.768,324.2468781916844,4,2,0,0,1,0,31,6,0
135,8,urban,138.7,88.768,57.2397804255925,7,5,0,1,1,0,38,4,0
136,8,urban,138.7,88.768,214.9670765025799,6,1,0,1,2,1,44,4,0
137,8,urban,138.7,88.768,356.7668110649188,1,0,0,1,1,0,44,2,0
138,8,urban,138.7,88.768,72.60796728572392,5,3,0,1,0,1,41,3,0
139,8,urban,138.7,88.768,134.6635611284668,4,2,0,0,1,1,48,4,0
140,8,urban,138.7,88.768,187.3882601218701,6,1,0,1,3,0,45,6,0
141,8,urban,138.7,88.768,388.8730919645469,4,0,1,0,2,1,56,4,0
142,8,urban,138.7,88.768,138.1994661094078,4,2,0,0,1,0,28,6,0
